group,trial_id,csv_file,csv_row_idx,csv_delim,A,n,r,c,s,Z_obj,occ_infront,occ_ring,mask_extra,cam_x,cam_y,cam_z,candidates_size,ee_x,ee_y,ee_z,exec_ok,ik_fail_count,ik_success_count,planning_ok,planning_time_sec,reps_size,score,sel_best_mode_dq_exec,sel_best_mode_m_exec,sel_best_mode_m_limit,sel_best_mode_m_sing,sel_best_mode_score,selected_dq_exec,selected_idx_in_candidates,selected_psc,stamp,traj_points,trial_tag,use_comp,used_mode0_members
L1+L2,32,nbv_executor_action_mode_1772329167_299895.csv,0,COMMA,32,3523.5,1.00,1.000,0.833,0.958,0.454,0.016,0.192,-0.201679781079292,-0.167123928666115,0.355873256921768,6,-0.183115440905894,-0.219557745194082,0.565490066277526,1,3,3,1,1.11779689788818,5,2.65511478974086,5.90134763717651,0.328163057565689,0.328163057565689,1,2.12816309928894,2.88877842063335,5,0.584158420562744,1772329184.63472,38,action_mode,1,1
L1+L2,33,nbv_executor_action_mode_1772329314_311616.csv,0,COMMA,23,3533.7,1.00,1.000,0.831,0.957,0.454,0.018,0.196,-0.30861419439315796,-0.21504946053028107,0.41694751381874084,6,-0.2264218837900254,-0.2763226748967876,0.6080578586072021,1,0,6,1,1.230898380279541,5,2.4600817501878596,4.967694282531738,0.7251747250556946,0.7251747250556946,1.0,3.0099360942840576,2.75269273747428,5,0.7315270900726318,1772329328.1800325,32,action_mode,1,1
L1+L2,34,nbv_executor_action_mode_1772329679_350172.csv,0,COMMA,32,2497.7,1.00,1.000,0.698,0.888,0.503,0.016,0.105,-0.23245711624622345,-0.13108110427856445,0.4474635720252991,14,-0.1772537937426581,-0.26357362650071736,0.6100411576453035,1,1,13,1,1.0902247428894043,3,2.2435200841368954,3.0371923446655273,1.0,1.0,1.0,2.799999952316284,2.4995686710649947,7,0.6401098966598511,1772329682.1862798,34,action_mode,1,1
L1+L2,35,nbv_executor_action_mode_1772330179_401114.csv,0,COMMA,41,2494.9,1.00,1.000,0.703,0.890,0.503,0.014,0.091,-0.1545165330171585,-0.2486267238855362,0.32674726843833923,2,-0.1503830872494343,-0.2688730575550043,0.5426318376073284,1,0,2,1,1.3988697528839111,5,3.8774845540623204,4.9362616539001465,1.0,1.0,1.0,1.7347464561462402,4.085014655439545,0,0.5188171863555908,1772330180.7061,44,action_mode,1,1
L1+L2,36,nbv_executor_action_mode_1772330297_412684.csv,0,COMMA,24,2491.7,1.00,1.000,0.709,0.892,0.503,0.015,0.096,-0.19475828111171722,-0.2750580310821533,0.3323397636413574,2,-0.18618529763013927,-0.28946823132088345,0.548561864013994,1,0,2,1,3.8728742599487305,5,3.595808526962877,2.6897521018981934,0.847439706325531,0.847439706325531,1.0,3.1193971633911133,3.8159858374462354,0,0.5504587292671204,1772330300.5561936,48,action_mode,1,1
L1+L2,37,nbv_executor_action_mode_1772330444_428291.csv,0,COMMA,76,2504.7,1.00,1.000,0.711,0.893,0.503,0.018,0.093,-0.09808190912008286,-0.262493371963501,0.32042551040649414,15,-0.09999287927078038,-0.2720000632917114,0.53707988405107,1,0,15,1,1.3761341571807861,11,2.9027353145936736,2.7370760440826416,1.0,1.0,1.0,2.185147523880005,3.0765462174700366,11,0.43454039096832275,1772330446.9510486,32,action_mode,1,1
L1+L2,38,nbv_executor_action_mode_1772330603_441844.csv,0,COMMA,26,3837.4,1.00,1.000,0.901,0.992,0.450,0.009,0.001,-0.31202593445777893,-0.2162780910730362,0.3672824203968048,3,-0.26657769935968645,-0.25800768001725766,0.5751916456352846,1,0,3,1,1.485464334487915,7,2.5843839007079286,4.824611186981201,0.7855241298675537,0.7855241298675537,1.0,2.1855242252349854,2.8688017423991066,0,0.7110481858253479,1772330605.8659012,35,action_mode,1,1
L1+L2,39,nbv_executor_action_mode_1772331027_467504.csv,0,COMMA,26,3457.9,1.00,1.000,0.791,0.947,0.443,0.013,0.042,nan,nan,nan,1,nan,nan,nan,0,1,0,0,nan,13,nan,5.158373833,0.750131071,0.750131071,1,2.936291218,nan,-1,nan,1772331035,0,action_mode,0,0
L1+L2,40,nbv_executor_action_mode_1772331246_482670.csv,0,COMMA,48,3258.5,1.00,1.000,0.631,0.883,0.447,0.182,0.228,-0.26468756794929504,-0.3268471956253052,0.36036279797554016,2,-0.24898622351208527,-0.32820165306633586,0.5766606940220684,1,0,2,1,2.965660810470581,12,-0.25058822631835936,4.997945308685303,0.2150636464357376,0.2150636464357376,1.0,1.6150636672973633,4.874780096248631,0,0.6264705657958984,1772331248.19643,64,action_mode,1,1
L1+L2,41,nbv_executor_action_mode_1772331711_527204.csv,0,COMMA,23,2780.3,1.00,1.000,0.336,0.642,0.410,0.110,0.430,-0.068041861,-0.300918698,0.343791097,3,-0.01224859,-0.308876285,0.55321157,1,0,3,1,4.705438375,8,4.069162622,4.774502754,1,1,1,2.159853697,4.309392514,0,0.600574732,1772331717,128,action_mode,1,1
